Step,AgentID,AgentType,GroupType,Knowledge,KnowledgeLinks,Time,AverageMastery,LargestSubgraph
0,91,constructive,group_2,0,[],0.0,0.09805939224340537,1
0,92,constructive,group_2,0,[],0.0,0.08911217415170666,1
0,93,constructive,group_2,0,[],0.0,0.10175382553569193,1
0,94,constructive,group_2,0,[],0.0,0.09371698991472074,1
0,95,constructive,group_2,0,[],0.0,0.1027682842229168,1
0,96,constructive,group_2,0,[],0.0,0.10081320032257117,1
0,97,constructive,group_2,0,[],0.0,0.09118633405462245,1
0,98,constructive,group_2,0,[],0.0,0.08464595770578034,1
0,99,constructive,group_2,0,[],0.0,0.10274481923081422,1
0,100,constructive,group_3,0,[],0.0,0.09912161573894643,1
0,101,constructive,group_3,0,[],0.0,0.08134376925087387,1
0,102,constructive,group_3,0,[],0.0,0.09497649496688484,1
0,103,constructive,group_3,0,[],0.0,0.08784178836090716,1
0,104,constructive,group_3,0,[],0.0,0.09134115641074604,1
0,105,constructive,group_3,0,[],0.0,0.10418256265416866,1
0,106,constructive,group_3,0,[],0.0,0.08613113816779092,1
0,107,constructive,group_3,0,[],0.0,0.09276457781284445,1
0,108,constructive,group_3,0,[],0.0,0.09159389939809727,1
0,109,constructive,group_3,0,[],0.0,0.09052604663397974,1
0,110,constructive,group_3,0,[],0.0,0.09210946597269527,1
0,111,constructive,group_3,0,[],0.0,0.10138706920066902,1
0,112,constructive,group_3,0,[],0.0,0.101033948717367,1
0,113,constructive,group_3,0,[],0.0,0.08909751778118748,1
0,114,constructive,group_3,0,[],0.0,0.10438254497264403,1
0,115,constructive,group_3,0,[],0.0,0.1111441764699926,1
0,116,constructive,group_3,0,[],0.0,0.11541640571151077,1
0,117,constructive,group_3,0,[],0.0,0.1043605234168032,1
0,118,constructive,group_3,0,[],0.0,0.08951813446941391,1
0,119,constructive,group_3,0,[],0.0,0.10324374109012038,1
0,120,constructive,group_3,0,[],0.0,0.08245167659686167,1
0,121,constructive,group_3,0,[],0.0,0.100689990900626,1
0,122,constructive,group_3,0,[],0.0,0.09693606111240927,1
0,123,constructive,group_3,0,[],0.0,0.10893384910693801,1
0,124,constructive,group_3,0,[],0.0,0.09749908723084062,1
0,125,constructive,group_3,0,[],0.0,0.11133520865866167,1
0,126,constructive,group_3,0,[],0.0,0.10035534997214861,1
0,127,constructive,group_3,0,[],0.0,0.1056040057812299,1
0,128,constructive,group_3,0,[],0.0,0.09425316550115173,1
0,129,constructive,group_3,0,[],0.0,0.09390619912387642,1
0,130,constructive,group_3,0,[],0.0,0.09485641574749679,1
0,131,constructive,group_3,0,[],0.0,0.10817170296157497,1
0,132,constructive,group_3,0,[],0.0,0.09214615815531245,1
0,133,constructive,group_3,0,[],0.0,0.11217648724774751,1
0,134,constructive,group_3,0,[],0.0,0.10668027793690518,1
0,135,constructive,group_3,0,[],0.0,0.0998073686938736,1
0,136,constructive,group_3,0,[],0.0,0.10142821091503337,1
0,137,constructive,group_3,0,[],0.0,0.09150218540425283,1
0,138,constructive,group_3,0,[],0.0,0.1034089936727576,1
0,139,constructive,group_3,0,[],0.0,0.10286940243294489,1
0,140,constructive,group_3,0,[],0.0,0.09985036186956807,1
0,141,constructive,group_3,0,[],0.0,0.11397605578488648,1
0,142,constructive,group_3,0,[],0.0,0.1208801360512182,1
0,143,constructive,group_3,0,[],0.0,0.09445920513894655,1
0,144,constructive,group_3,0,[],0.0,0.10777262551272523,1
0,145,constructive,group_3,0,[],0.0,0.10344902373885571,1
0,146,constructive,group_3,0,[],0.0,0.106254616869859,1
0,147,constructive,group_3,0,[],0.0,0.09802302914933216,1
0,148,constructive,group_3,0,[],0.0,0.10282010398760488,1
0,149,constructive,group_3,0,[],0.0,0.09749576288390402,1
1,0,active,group_1,0,[],1.0,0.09843652638328698,1
1,1,active,group_1,0,[],1.0,0.11765778166351788,1
1,2,active,group_1,0,[],1.0,0.09879820326070626,1
1,3,active,group_1,0,[],1.0,0.09464645854399396,1
1,4,active,group_1,0,[],1.0,0.102892814577636,1
1,5,active,group_1,0,[],1.0,0.10072182197672983,1
1,6,active,group_1,0,[],1.0,0.09272365843569043,1
1,7,active,group_1,0,[],1.0,0.10788752876132308,1
1,8,active,group_1,0,[],1.0,0.10430370914603956,1
1,9,active,group_1,0,[],1.0,0.10995485863465286,1
1,10,active,group_1,0,[],1.0,0.11550920451858016,1
1,11,active,group_1,0,[],1.0,0.0984661889416243,1
1,12,active,group_1,0,[],1.0,0.11700385771549075,1
1,13,active,group_1,0,[],1.0,0.11351163002259593,1
1,14,active,group_1,0,[],1.0,0.12196086760129007,1
1,15,active,group_1,0,[],1.0,0.11529116288315173,1
1,16,active,group_1,0,[],1.0,0.11077690790375953,1
1,17,active,group_1,0,[],1.0,0.0881624698837195,1
1,18,active,group_1,0,[],1.0,0.11126470867665009,1
1,19,active,group_1,0,[],1.0,0.11962403050068668,1
1,20,active,group_1,0,[],1.0,0.12552934540598035,1
1,21,active,group_1,0,[],1.0,0.1013068605611582,1
1,22,active,group_1,0,[],1.0,0.10521794500050405,1
1,23,active,group_1,0,[],1.0,0.09050802483596435,1
1,24,active,group_1,0,[],1.0,0.11232139275805694,1
1,25,active,group_1,0,[],1.0,0.11542035422139793,1
1,26,active,group_1,0,[],1.0,0.1078949582626895,1
1,27,active,group_1,0,[],1.0,0.11537181688789284,1
1,28,active,group_1,0,[],1.0,0.10844318233514907,1
1,29,active,group_1,0,[],1.0,0.11220359404540178,1
1,30,active,group_1,0,[],1.0,0.09614711890376518,1
1,31,active,group_1,0,[],1.0,0.11324491816194411,1
